"Department","Number","Name","Credits","Description","Prerequisites"
AS,"4320",Loss Models and Credibility,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55096
AS,"4340",Life Contingencies I,3,Learn principles and techniques of computer animation.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55097
AS,"4350",Life Contingencies II,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55098
AS,"4360",Ratemaking and Loss Reserving,3,Study computer networking principles and protocols.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55099
AS,"4389",Directed Readings in Actuarial Science,3,Introduction to computational methods in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55100
AS,"4510",Derivative Valuation and Risk Management,3,Learn techniques for discovering patterns in large datasets.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55101
ASL,"1001",Elementary American Sign Language I,3,Study secure software development principles and practices.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57821
ASL,"1002",Elementary American Sign Language II,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57822
ASL,"2001",Intermediate American Sign Language I,3,Explore a writing-intensive topic in linguistics.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57823
ASL,"2002",Intermediate American Sign Language II,3,Study the role of language in social contexts.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57824
ASL,"3001",Advanced American Sign Language I,3,Completion of an honors thesis under faculty guidance.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58145
ART,"1010",Drawing I,3,Explore the structure and formation of words and sentences.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55071
ART,"1020",Dimensional Design,3,Gain practical experience in ESL teaching methods.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55072
ART,"1030",Dimensional Design,3,Study the sounds and speech patterns of languages.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55073
ART,"1050",Introductory Studio,3,Introduction to the study of language.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55074
ART,"1301","Art, Society, and Culture",3,Engage in advanced writing on a linguistic topic.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55075
ART,"2000",Fundamentals of Sculpture,3,Explore the cultural history of sexuality.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55076
ART,"2050",Fundamentals of Ceramics,3,Study the evolutionary history of humans.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55077
ART,"2200",Fundamentals of Painting I,3,Analyze the impact of tourism from an anthropological perspective.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55078
ART,"2300",Fundamentals of Painting II,3,Learn methods used in biological anthropology research.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55079
ART,"2400",Fundamentals of Photography,3,Survey the development of anthropological theory.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55080
ART,"2900",Selected Topics in Studio,3,Examine contemporary ethnographic research practices.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55081
ART,"3400","Space, Scale, Time: Digital Possibilities",3,Explore the archaeology of ancient Olympic sites.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55082
ART,"3690",Honors Readings,3,Study the role of religion and ritual in societies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55083
ART,"3910",CTW,3,Gain hands-on training in archaeological methods.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55084
ART,"4000",Practical Skills in Arts Administration,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55085
ART,"4500",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55086
ART,"4850",Visiting Artist Seminar,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55087
ART,"4870",Honors Thesis: Research,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55088
ART,"4880",Honors Thesis: Writing,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55089
ART,"4980",Special Problems,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55090
ART,"4995",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55091
AE,"2300",Art and Music for Early Childhood,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57953
AE,"4000",Selected Topics in Art Education,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54918
AE,"4200",Art for Preschool through Fifth Grade,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54919
AE,"4300",Art for Middle and Secondary Schools,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54920
AE,"4400","Media, Technology, and Visual Presentation",3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54921
AE,"4600",Art Education Practicum,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54922
AE,"4650",Opening School Experience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54923
AE,"4750",(TE Student Teaching in Art),3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54924
AE,"4785",Teacher Education Internship I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54925
AE,"4800",Community Arts Internship,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54926
AE,"4810",Community Arts Internship,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54927
AE,"4900",Art Theory and Criticism in Art Education,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54928
AE,"4980",Special Problems,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54929
AH,"1700",Western Art from Antiquity to the Middle Ages,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54809
AH,"1750",Western Art from the Renaissance to the Present,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54810
AH,"1850",Art of the Global South,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54811
AH,"2000",Survey of Art Since 1900,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54930
AH,"3000",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54931
AH,"3690",Honors Directed Readings,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54932
AH,"4000",African Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54933
AH,"4010","African Painting, Sculpture and Textiles",3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54934
AH,"4020",African Female Artists and Art Forms,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54935
AH,"4025",Art & Architecture of Ancient Egypt & the Near East,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54936
AH,"4030",Contemporary African Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54937
AH,"4110",Art and Architecture of Ancient Greece,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54938
AH,"4120",Art and Architecture of Ancient Rome,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54939
AH,"4200",Art and Architecture of the Middle Ages,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54940
AH,"4310",Art of Northern Europe in the Renaissance Era,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54941
AH,"4320",Italian Renaissance Art: The Age of Humanism,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54942
AH,"4400",Baroque Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54943
AH,"4450",Century European Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54944
AH,"4500",Century European Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54945
AH,"4600",Modern Architecture,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54946
AH,"4610",Century European and American Modernism,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54947
AH,"4620",American Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54948
AH,"4630",Art and Architecture of the Ancient Americas.,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54949
AH,"4650",Art of the United States,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54950
AH,"4660",Century Art in Latin America,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54951
AH,"4685",Memory and Identity in Latin American Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54952
AH,"4690",Asian Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54953
AH,"4700",Contemporary Art: Theory and Criticism,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54954
AH,"4720",Feminist Issues in Contemporary Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54955
AH,"4750",Women Artists,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54956
AH,"4800",Art History Topics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54957
AH,"4850",Visiting Scholar Seminar,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54958
AH,"4870",Honors Thesis: Research,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54959
AH,"4880",Honors Thesis: Writing,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54960
AH,"4900",Special Studies Seminar,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54961
AH,"4930",Art History Internship,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54962
AH,"4950",Curatorial Practicum in Ancient Art,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54963
AH,"4980",Special Problems,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54964
ARTA,"4000",Marketing for the Arts,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55092
ASTR,"1000",Introduction to the Universe,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55104
ASTR,"1010",Astronomy of the Solar System,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55105
ASTR,"1010K",Astronomy of the Solar System,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57820
ASTR,"1010L",Astronomy of the Solar System Lab,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55117
ASTR,"1020",Stellar and Galactic Astronomy,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55106
ASTR,"1020K",Stellar and Galactic Astronomy,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55118
ASTR,"1020L",Stellar and Galactic Astronomy Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55119
ASTR,"1500",Life in the Universe,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55107
ASTR,"3500",Quantitative Astronomy,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55108
ASTR,"3510",Astrophysics of Stars and Planets,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55109
ASTR,"3520",Galactic and Extragalactic Astrophysics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55110
ASTR,"4100",Astronomical Techniques and Instrumentation,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55111
ASTR,"4500",Special Topics in Astronomy and Astrophysics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55114
ASTR,"4870",Honors Thesis I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55115
ASTR,"4880",Honors Thesis II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55116
ASTR,"4995",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57840
BIOL,"1103",Introductory Biology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55121
BIOL,"1103K",Introductory Biology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57950
BIOL,"1103L",Introductory Biology I Lab,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55202
BIOL,"1104",Introductory Biology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55122
BIOL,"1104K",Introductory Biology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57958
BIOL,"1104L",Introductory Biology II Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55203
BIOL,"2030",Professional Development in the Biological Sciences,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58178
BIOL,"2050",Introduction to Drugs and Behavior,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57959
BIOL,"2106",Introduction to the Biological Sciences,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55123
BIOL,"2107",Principles of Biology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57817
BIOL,"2107K",Principles of Biology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57960
BIOL,"2107L",Principles of Biology I Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55204
BIOL,"2108",Principles of Biology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55124
BIOL,"2108K",Principles of Biology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57961
BIOL,"2108L",Principles of Biology II Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55205
BIOL,"2240",Introduction to Human Physiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57964
BIOL,"2250",Human Physiology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57965
BIOL,"2251",Anatomy and Physiology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57818
BIOL,"2251K",Anatomy and Physiology I,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57962
BIOL,"2251L",Anatomy and Physiology I Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55206
BIOL,"2252",Anatomy and Physiology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55125
BIOL,"2252K",Anatomy and Physiology II,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57963
BIOL,"2252L",Anatomy and Physiology II Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55207
BIOL,"2260",Foundations of Microbiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57819
BIOL,"2260L",Foundations of Microbiology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55126
BIOL,"2500",Neurobiology and Behavior,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57966
BIOL,"2600",Emerging Scholars Research Experience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57967
BIOL,"2650K",Life Sci. For Middle School,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55208
BIOL,"2800",Introduction to Molecular Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57968
BIOL,"3020",Introduction to Marine Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55127
BIOL,"3021",Infectious Disease and Society,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57843
BIOL,"3025",Dinosaurs: Evolution and Paleobiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57844
BIOL,"3240",Applied Medical Physiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55128
BIOL,"3250",Human Physiology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57845
BIOL,"3430",Biotechnology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55129
BIOL,"3440",Fundamentals of Evolution,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57846
BIOL,"3690",Honors Reading,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55130
BIOL,"3740",Biomedical Ethics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57847
BIOL,"3800",Molecular Cell Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55131
BIOL,"3810",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57848
BIOL,"3820",Plant Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55132
BIOL,"3830",Plant Biology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57849
BIOL,"3840",Animal Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55133
BIOL,"3850",Animal Biology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57850
BIOL,"3880",Microbiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55134
BIOL,"3890",Microbiology Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57851
BIOL,"3900",Genetics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55135
BIOL,"3910",Genetics Laboratory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55136
BIOL,"3990",Independent Readings,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55137
BIOL,"4010",Mathematical Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55138
BIOL,"4011",Principles of Paleontology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55139
BIOL,"4014K",Invertebrate Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55209
BIOL,"4015K",Vertebrate Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55210
BIOL,"4030",Computational Neuroscience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55140
BIOL,"4040",Neuroethology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55141
BIOL,"4045K",CTW,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55211
BIOL,"4050K",The Natural Environment of Georgia,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55212
BIOL,"4055K",Experimental Methods in Field Ecology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55213
BIOL,"4070",Sensory Neuroscience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55142
BIOL,"4074",Developmental Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55143
BIOL,"4076",Evolutionary Developmental Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55144
BIOL,"4080",Clinical Neuroscience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55145
BIOL,"4094",Developmental Neurobiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55146
BIOL,"4100",Cellular and Molecular Neuroscience,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55147
BIOL,"4102",Neurobiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55148
BIOL,"4104",Zoo Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55149
BIOL,"4115",Medical Neuroanatomy,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55150
BIOL,"4200",Neuroscience of Memory,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55151
BIOL,"4210",Neuroscience of Motivation and Emotion,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55152
BIOL,"4240",Endocrinology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55153
BIOL,"4241",Hormones and Behavior,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55154
BIOL,"4246",Advanced Human Physiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55155
BIOL,"4248",Cell Physiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55156
BIOL,"4250",Cell Cycle and Cancer,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55157
BIOL,"4278",Immunology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55158
BIOL,"4282",Tumor Immunology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55159
BIOL,"4284",Medical Biochemistry in Health and Disease,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55160
BIOL,"4292",Leadership in Biology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55161
BIOL,"4340",Neurophysics,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55162
BIOL,"4428",Medical Microbiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55163
BIOL,"4438",Applied Microbiology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55164
BIOL,"4448",Investigations into the Human Microbiome: Organisms and Impacts,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58179
BIOL,"4451",Aquatic Pollution and Toxicology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55165
BIOL,"4458",Microbial Ecology and Metabolism,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55166
BIOL,"4460",Parasitology,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55167
BIOL,"4480",Principles of Toxicology,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55168
BIOL,"4484",Laboratory Techniques in Applied and Environmental Microbiology,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55169
BIOL,"4500",Human Genetics,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55170
BIOL,"4510",Introduction to Forensic & Investigative Science,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=63044
BIOL,"4520","Forensic DNA Technologies, Methods, and Analysis",4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=63045
BIOL,"4545",Bioethics and Biotechnology,4,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55171
